repo_name,depth,timelag,complexity,nloc
https://github.com/nodejitsu/node-http-proxy,10,7,2.2,1174.0
https://github.com/ember-cli/eslint-plugin-ember,11,26,2.7,3294.0
https://github.com/grncdr/merge-stream,4,72,1.6,30.0
https://github.com/buzinas/tslint-eslint-rules,10,13,1.3,123.0
https://github.com/bruce/node-temp,4,16,2.6,279.0
https://github.com/substack/faucet,2,407,2.6,179.0
https://github.com/TrySound/rollup-plugin-terser,9,312,8.0,60.0
https://github.com/medikoo/cli-color,5,159,1.8,571.0
https://github.com/maxdavidson/rollup-plugin-sourcemaps,9,40,5.0,49.0
https://github.com/substack/node-deep-equal,3,1385,5.9,105.0
https://github.com/nightwatchjs/nightwatch,7,30,1.9,9663.0
https://github.com/vohof/gulp-livereload,4,193,1.5,170.0
https://github.com/lorenwest/node-config,5,16,4.5,857.0
https://github.com/indutny/node-ip,10,1094,4.2,306.0
https://github.com/karma-runner/karma-sauce-launcher,9,285,1.6,60.0
https://github.com/defunctzombie/node-url,7,703,14.8,519.0
https://github.com/mfncooper/mockery,4,343,2.2,226.0
https://github.com/airbnb/babel-plugin-dynamic-import-node,11,69,5.0,34.0
https://github.com/electron/electron,10,56,3.0,97626.0
https://github.com/expressjs/multer,7,722,1.9,409.0
https://github.com/teambition/merge2,7,161,3.3,78.0
https://github.com/dylang/shortid,9,5,1.9,262.0
https://github.com/tapjs/node-tap,8,16,4.3,2681.0
https://github.com/Raynos/function-bind,6,532,3.0,46.0
https://github.com/lodash/babel-plugin-lodash,9,3,5.2,324.0
https://github.com/reduxjs/react-redux,10,56,2.3,1187.0
https://github.com/esdoc/esdoc,10,232,1.3,2411.0
https://github.com/gaearon/babel-plugin-react-transform,11,23,4.8,254.0
https://github.com/TrySound/rollup-plugin-uglify,9,3,3.0,50.0
https://github.com/babel/eslint-plugin-babel,5,144,2.2,528.0
https://github.com/jscs-dev/grunt-jscs,11,492,1.7,185.0
https://github.com/webpack-contrib/webpack-bundle-analyzer,10,55,2.6,1669.0
https://github.com/ember-cli/ember-cli,9,28,2.5,10685.0
https://github.com/bcaudan/jasmine-spec-reporter,7,2,1.0,95.0
https://github.com/loganfsmyth/babel-plugin-transform-decorators-legacy,11,255,3.8,240.0
https://github.com/twbs/bootstrap,8,28,2.8,22194.0
https://github.com/jsdoc3/jsdoc,10,11,5.2,8624.0
https://github.com/angular/protractor,9,2,2.3,6748.0
https://github.com/Medium/phantomjs,7,241,2.4,510.0
https://github.com/socketio/socket.io,9,15,2.2,2270.0
https://github.com/webpack/webpack-dev-middleware,11,87,6.0,529.0
https://github.com/sindresorhus/pify,11,233,4.7,95.0
https://github.com/wycats/handlebars.js,11,1,1.7,9900.0
https://github.com/winstonjs/winston,9,13,3.2,2245.0
https://github.com/pillarjs/router,5,281,4.1,588.0
https://github.com/gruntjs/grunt-contrib-copy,11,327,3.1,206.0
https://github.com/gruntjs/grunt-contrib-concat,11,455,2.9,441.0
https://github.com/karma-runner/karma-firefox-launcher,11,633,2.5,212.0
https://github.com/BrowserSync/browser-sync,10,76,2.7,10133.0
https://github.com/webpack-contrib/webpack-hot-middleware,9,242,2.7,732.0
https://github.com/stefanpenner/es6-promise,10,157,2.3,727.0
https://github.com/rickharrison/broccoli-asset-rev,6,511,3.2,321.0
https://github.com/nodeca/js-yaml,5,39,5.2,6063.0
https://github.com/aws/aws-sdk-js,9,91,2.8,234747.0
https://github.com/tschaub/gh-pages,7,112,2.2,576.0
https://github.com/spalger/gulp-jshint,10,367,2.9,293.0
https://github.com/mde/ejs,5,75,3.8,856.0
https://github.com/quaertym/ember-cli-dependency-checker,10,35,1.9,448.0
https://github.com/gruntjs/grunt-contrib-jasmine,12,98,2.5,683.0
https://github.com/vojtajina/grunt-coffeelint,4,272,3.5,47.0
https://github.com/broccolijs/broccoli-merge-trees,8,38,5.0,39.0
https://github.com/mattlewis92/karma-coverage-istanbul-reporter,10,1,4.3,265.0
https://github.com/prettier/prettier-eslint,12,33,2.4,1491.0
https://github.com/ritz078/rollup-plugin-filesize,11,33,5.7,88.0
https://github.com/ember-cli/ember-export-application-global,10,33,2.4,116.0
https://github.com/JedWatson/react-select,9,28,2.4,14722.0
https://github.com/babel/ember-cli-babel,11,12,1.1,1553.0
https://github.com/ember-cli/ember-cli-uglify,10,85,1.0,127.0
https://github.com/maxogden/dependency-check,9,80,4.6,316.0
https://github.com/webpack-contrib/html-loader,8,29,3.3,171.0
https://github.com/Automattic/mongoose,9,27,3.6,22264.0
https://github.com/bitinn/node-fetch,9,1,6.6,1120.0
https://github.com/dominictarr/split,4,25,3.7,66.0
https://github.com/felixge/node-formidable,4,736,2.3,1097.0
https://github.com/cloudhead/node-static,4,26,3.2,463.0
https://github.com/pghalliday/grunt-mocha-test,9,17,2.1,220.0
https://github.com/okunishinishi/node-injectmock,7,5,1.0,156.0
https://github.com/tj/co,5,190,2.2,101.0
https://github.com/adamreisnz/replace-in-file,11,255,2.7,1240.0
https://github.com/blakeembrey/co-mocha,8,105,2.2,187.0
https://github.com/avoidwork/filesize.js,12,179,14.2,444.0
https://github.com/Stuk/jszip,10,455,3.2,9803.0
https://github.com/squaremo/amqp.node,6,135,1.9,3606.0
https://github.com/tj/consolidate.js,10,3,2.7,1017.0
https://github.com/slushjs/gulp-install,7,490,3.4,142.0
https://github.com/gaearon/react-transform-hmr,11,165,4.5,58.0
https://github.com/node-serialport/node-serialport,10,34,3.6,6754.0
https://github.com/TrySound/rollup-plugin-eslint,10,15,8.5,54.0
https://github.com/Rowno/grunt-mocha-cli,11,15,8.7,160.0
https://github.com/ape-repo/ape-tmpl,10,5,4.7,365.0
https://github.com/jprichardson/string.js,10,251,2.7,1985.0
https://github.com/eggjs/egg,11,160,5.1,1726.0
https://github.com/sindresorhus/grunt-concurrent,9,44,1.6,167.0
https://github.com/peter-vilja/gulp-clean,4,457,3.3,38.0
https://github.com/ape-repo/ape-updating,6,5,3.2,174.0
https://github.com/reduxjs/redux-thunk,8,31,2.0,49.0
https://github.com/eggjs/egg-mock,9,235,5.5,1175.0
https://github.com/matthew-andrews/isomorphic-fetch,4,116,2.0,17.0
https://github.com/hustxiaoc/gulp-minify,10,391,5.0,118.0
https://github.com/gulp-community/gulp-less,7,164,1.7,54.0
https://github.com/prodatakey/dirty-chai,8,9,1.5,184.0
https://github.com/dominictarr/event-stream,4,413,1.8,270.0
https://github.com/js-cookie/js-cookie,9,40,2.7,305.0
https://github.com/ape-repo/ape-releasing,5,8,6.0,164.0
https://github.com/csstools/postcss-preset-env,9,196,2.2,703.0
https://github.com/jinder/path,1,686,4.8,409.0
https://github.com/gruntjs/grunt-contrib-connect,12,188,3.2,428.0
https://github.com/ape-repo/ape-tasking,10,8,7.0,124.0
https://github.com/rschmukler/gulp-insert,8,54,1.8,97.0
https://github.com/gruntjs/grunt-contrib-coffee,10,184,2.0,359.0
https://github.com/inxilpro/node-app-root-path,10,883,2.8,100.0
https://github.com/airbnb/babel-preset-airbnb,6,249,1.0,67.0
https://github.com/douglasduteil/isparta,11,83,3.3,345.0
https://github.com/ember-cli/ember-cli-jshint,10,111,1.3,115.0
https://github.com/sindresorhus/escape-string-regexp,9,1659,2.0,8.0
https://github.com/embersherpa/ember-cli-app-version,10,35,4.1,233.0
https://github.com/auth0/node-jsonwebtoken,9,136,6.2,435.0
https://github.com/jonschlinkert/gulp-htmlmin,9,11,2.7,49.0
https://github.com/isaacs/once,9,310,1.4,38.0
https://github.com/expressjs/cors,9,162,3.5,205.0
https://github.com/apollostack/graphql-tag,6,11,3.3,309.0
https://github.com/nodeca/argparse,9,112,2.9,2262.0
https://github.com/expressjs/session,9,1,3.0,612.0
https://github.com/chrisdickinson/raf,5,106,2.0,69.0
https://github.com/samverschueren/uppercamelcase,9,630,1.0,6.0
https://github.com/bower/bower,8,3,2.2,9909.0
https://github.com/mhevery/jasmine-node,4,219,1.7,3517.0
https://github.com/sindresorhus/time-grunt,10,1426,1.9,181.0
https://github.com/lo1tuma/eslint-plugin-mocha,9,267,2.7,1208.0
https://github.com/raszi/node-tmp,5,130,5.0,434.0
https://github.com/facebook/regenerator,6,87,3.6,76382.0
https://github.com/lytics/ember-cli-release,8,12,1.9,728.0
https://github.com/emberjs/data,11,157,3.3,194512.0
https://github.com/luisrudge/postcss-flexbugs-fixes,10,1026,1.5,251.0
https://github.com/tracker1/gulp-header,10,235,5.2,69.0
https://github.com/epeli/underscore.string,7,102,2.3,1919.0
https://github.com/bestiejs/benchmark.js,8,608,3.6,2796.0
https://github.com/expressjs/compression,9,35,3.2,161.0
https://github.com/sindresorhus/execa,9,36,4.3,395.0
https://github.com/danethurber/webpack-manifest-plugin,11,1,1.2,1393.0
https://github.com/graphql/graphql-js,8,5,3.2,46527.0
https://github.com/brianc/node-postgres,6,429,2.7,2047.0
https://github.com/ember-cli/ember-welcome-page,10,148,1.4,265.0
https://github.com/nodesecurity/nsp,8,14,4.0,749.0
https://github.com/Automattic/node-canvas,8,147,3.0,7974.0
https://github.com/dominictarr/through,2,413,2.4,77.0
https://github.com/Reactive-Extensions/RxJS,10,40,1.9,107946.0
https://github.com/coolme200/webstorm-disable-index,10,512,2.5,196.0
https://github.com/AvianFlu/ncp,3,219,2.4,231.0
https://github.com/marcello3d/polyfill.js,2,1562,3.9,442.0
https://github.com/JacksonGariety/gulp-nodemon,9,45,2.1,130.0
https://github.com/ember-cli/ember-cli-eslint,10,107,1.3,453.0
https://github.com/kevinbeaty/fs-promise,4,206,1.0,68.0
https://github.com/QingWei-Li/vue-markdown-loader,9,36,3.2,192.0
https://github.com/nodejs/nan,5,180,2.3,8810.0
https://github.com/scniro/gulp-clean-css,10,129,9.0,307.0
https://github.com/aseemk/requireDir,4,1678,30.0,87.0
https://github.com/npm/npmlog,9,106,2.7,286.0
https://github.com/adamwdraper/Numeral-js,11,189,2.9,4396.0
https://github.com/defunctzombie/zuul,11,270,2.3,11538.0
https://github.com/inikulin/parse5,8,53,4.0,7576.0
https://github.com/sidorares/node-mysql2,8,267,2.8,63522.0
https://github.com/rollup/rollup-plugin-json,8,482,4.0,32.0
https://github.com/hughsk/vinyl-buffer,3,1253,1.8,20.0
https://github.com/sindresorhus/gulp-zip,9,15,2.0,69.0
https://github.com/mobxjs/mobx-react,12,1,3.4,1030.0
https://github.com/typings/typings,6,29,1.0,73.0
https://github.com/pocesar/grunt-mocha-istanbul,11,257,2.8,365.0
https://github.com/substack/json-stable-stringify,1,837,3.5,91.0
https://github.com/arnaudbenard/redux-mock-store,9,8,3.3,106.0
https://github.com/bublejs/buble,6,17,4.7,4206.0
https://github.com/mikeal/watch,1,452,4.4,205.0
https://github.com/nuysoft/Mock,10,3,3.3,14256.0
https://github.com/feross/safe-buffer,7,67,2.2,51.0
https://github.com/yahoo/react-intl,10,60,4.0,1968.0
https://github.com/jnordberg/coffeeify,9,421,2.5,98.0
https://github.com/webpack-contrib/coffee-loader,11,388,8.0,38.0
https://github.com/vkadam/grunt-jsbeautifier,11,151,2.2,269.0
https://github.com/nfl/react-helmet,10,61,1.5,949.0
https://github.com/npm/validate-npm-package-name,10,1124,5.8,78.0
https://github.com/commissure/redbox-react,10,60,1.8,460.0
https://github.com/tjunnone/npm-check-updates,9,12,4.2,1090.0
https://github.com/dominictarr/map-stream,4,40,2.5,115.0
https://github.com/isaacs/json-stringify-safe,6,752,2.8,22.0
https://github.com/jfromaniello/url-join,9,318,3.4,44.0
https://github.com/visionmedia/nib,7,1193,2.1,178.0
https://github.com/mscdex/ssh2,2,334,3.5,3629.0
https://github.com/domenic/opener,6,533,5.0,53.0
https://github.com/image-size/image-size,9,14,1.8,975.0
https://github.com/robrich/gulp-rimraf,4,89,4.0,38.0
https://github.com/shinnn/gulp-gh-pages,9,280,4.1,178.0
https://github.com/rafeca/prettyjson,5,657,5.1,191.0
https://github.com/monounity/karma-typescript,11,345,1.0,244.0
